"","beta","r","logm1","logm2","sensrate","prop"
"373",0.334314,0.480288,1.61837,2.78537,0.15056,0.979131
"374",0.563164,0.186368,2.12189,0.690215,0.155381,0.872306
"375",0.563164,0.186368,2.12189,0.690215,0.155381,0.872306
"376",0.557546,0.205836,1.92124,0.589159,0.151604,0.938362
"377",0.329688,0.434686,1.12078,6.50604,0.171042,0.931084
"378",0.424303,0.408174,1.35866,0.755906,0.195008,0.780888
"379",0.48774,0.232735,1.86256,1.46891,0.161085,0.909408
"380",0.339849,0.371937,1.78802,2.518,0.152675,0.967349
"381",0.413239,0.42672,1.43113,1.01898,0.152133,0.985738
"382",0.438176,0.296686,1.45987,1.43365,0.150542,0.981121
"383",0.438176,0.296686,1.45987,1.43365,0.150542,0.981121
"384",0.412669,0.151895,1.36625,2.12137,0.13946,0.880862
"385",0.397304,0.174422,1.63959,1.92767,0.163258,0.848865
"386",0.429556,0.371831,1.6688,1.80412,0.157907,0.872744
"387",0.305322,0.388449,1.00051,3.17631,0.162249,0.963531
"388",0.304965,0.459114,1.12251,2.64119,0.17443,0.953304
"389",0.340363,0.616128,1.13047,1.89288,0.137907,0.987529
"390",0.357476,0.38172,2.12621,2.77998,0.143813,0.726132
"391",0.374441,0.329976,1.82916,2.07671,0.158275,0.947555
"392",0.410277,0.37415,2.07852,1.50306,0.161425,0.792592
"393",0.345787,0.255884,1.73223,3.00342,0.178982,0.880409
"394",0.415004,0.385633,1.50995,1.91058,0.192232,0.776196
"395",0.424955,0.529103,2.56056,1.41146,0.194811,0.939198
"396",0.455349,0.564024,1.51747,1.66225,0.187953,0.946916
"397",0.360137,0.799675,1.24792,2.86098,0.118119,0.887673
"398",0.307706,0.583058,1.30728,0.92724,0.137017,0.97457
"399",0.390344,0.72263,1.091,2.03288,0.119718,0.962348
"400",0.378821,0.087155,1.70022,1.89164,0.155021,0.947884
"401",0.483874,0.687547,2.47278,1.57057,0.160667,0.943759
"402",0.486051,0.62741,2.89,1.07613,0.161116,0.891639
"403",0.363636,0.152175,1.02602,3.83397,0.13408,0.988129
"404",0.388366,0.382158,0.854821,3.56691,0.15116,0.935243
"405",0.471996,0.433951,2.23365,1.42143,0.17747,0.906819
"406",0.391824,0.518855,1.19999,0.84204,0.139789,0.938344
"407",0.391039,0.417607,1.91916,3.91189,0.176645,0.900385
"408",0.462465,0.357452,1.92489,2.08377,0.157495,0.855002
"409",0.38793,0.125649,1.2281,1.25992,0.169875,0.889782
"410",0.422596,0.362743,1.4872,1.81585,0.163118,0.674009
"411",0.431732,0.325456,1.79327,2.03775,0.143957,0.999933
"412",0.364855,0.160062,0.739981,1.8873,0.154498,0.916031
"413",0.34303,0.527269,1.33275,2.64745,0.16154,0.965473
"414",0.34413,0.543866,1.95669,3.20706,0.159249,0.960116
"415",0.364583,0.518403,1.35325,1.51973,0.13232,0.926017
"416",0.410581,0.277429,2.06253,3.58989,0.15377,0.995211
"417",0.395194,0.377493,1.68639,1.68289,0.165274,0.768148
"418",0.456292,0.201044,2.0712,1.55669,0.140534,0.983672
